Name,status
Aceh,1
Gayo,1
Alas,1
Singkil,1
Simeulue,1
Nias,1
Batak Toba,1
Batak Karo,1
Batak Pakpak,1
Batak Mandailing,1
Batak Angkola,1
Minangkabau,1
Mentawai,1
Kubu,1
Nias,1
Simalungun,1
Jawa,1
Sunda,1
Baduy,1
Betawi,1
Tionghoa-Indonesia,1
Banten,1
Lampung,1
Komering,1
Rejang,1
Sasak,1
Dayak Ngaju,1
Dayak Ot Danum,1
Dayak Ma'anyan,1
Dayak Lawangan,1
Dayak Bakumpai,1
Banjar,1
Bugis,1
Makassar,1
Mandar,1
Toraja,1
Mamasa,1
Minahasa,1
Gorontalo,1
Sangir,1
Mongondow,1
Bolaang Mongondow,1
Tombulu,1
Tondano,1
Ternate,1
Tobelo,1
Galela,1
Alune,1
Gorap,1
Halmahera Utara,1
Tobaru,1
Loloda,1
Tugutil,1
Yali,1
Dani,1
Lani,1
Amungme,1
Asmat,1
Bauzi,1
Biak,1
Yali,1
Lani,1
Yei,1
Sentani,1
Manikion,1
Me,1
Mek,1
Auyu,1
Bauzi,1
Dem,1
Moni,1
Korowai,1
Mantembu,1
Muyu,1
Arfak,1
Kuri,1
Kamoro,1
Damal,1
Mee,1
Kambot,1
Yawa,1
Eipomek,1
Citak,1
Iha,1
Nimboran,1
Isirawa,1
Asmat,1
Biak,1
Waropen,1
Yeretuar,1
Serui,1
Muyu,1
Kamoro,1
Citak,1
Marori,1
Kuri,1
Atohomi,1
Asmats,1
Marind,1
Amungme,1
Damal,1
Sebyar,1
Agats,1
Kayu Merah,1
Kapori,1
Triauc,1
